canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
CCC(N)(CC)C#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,5.3,CHEMBL1983025,CaM kinase II delta
NC(Cc1c[nH]c2ccccc12)C(=O)Nc3cncc(C=Cc4ccncc4)c3,5.6,CHEMBL1983945,CaM kinase II delta
CS(=O)(=O)N(Cc1ccc2NC(=O)c3cccn3c2c1)C4CC4,6.6,CHEMBL1978448,CaM kinase II delta
CCN(CC)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,5.6,CHEMBL2001257,CaM kinase II delta
Cc1ccccc1c2c(C(=O)O)n(CCCOc3cccc4ccccc34)c5ccccc25,5.6,CHEMBL1987793,CaM kinase II delta
Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,5.4,CHEMBL1967531,CaM kinase II delta
CCOC(=O)c1cccc2[nH]c(nc12)c3ccc(cc3)N4CCC(N)C4,5.4,CHEMBL1995736,CaM kinase II delta
COc1cccc(c1)C(C)NC(=O)c2cc(C)c(s2)c3ccc4[nH]nc(C)c4c3,5.3,CHEMBL1997534,CaM kinase II delta
NC(=O)Cn1cc(c2cc(c3cc4ccccc4s3)c5[nH]ncc5c2)c6nc(N)ncc16,5.5,CHEMBL1985095,CaM kinase II delta
CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOCC6CC6)c2)CC1,5.9,CHEMBL2002446,CaM kinase II delta
Ic1ccc(Oc2cncc3sc(cc23)C4=NC(=O)ON4)cc1,5.6,CHEMBL497151,CaM kinase II delta
NCC1CCC(CNc2nc(NCc3ccccc3Cl)ncc2[N+](=O)[O-])CC1,6.2,CHEMBL246970,CaM kinase II delta
Cc1cc(O)ccc1N2C=C(C(=O)N)C(=O)c3ccc(cc23)c4ccncc4,5.5,CHEMBL340921,CaM kinase II delta
O=C1Nc2ccc3ncsc3c2C1=CNc4ccc(cc4)S(=O)(=O)Nc5ccccn5,7.1,CHEMBL1973540,CaM kinase II delta
Ic1cc2C(=O)Nc3ccccc3Nc2nn1,5.5,CHEMBL1977346,CaM kinase II delta
CC(C)N(C(C)C)C(=O)Nc1ccc2nc(c3occc3)c(nc2c1)c4occc4,5.3,CHEMBL2006156,CaM kinase II delta
NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,7.1,CHEMBL1982711,CaM kinase II delta
FC(F)(F)Oc1ccc(cc1)c2ccc3[nH]cc(C4=CCNCC4)c3c2,5.4,CHEMBL1987982,CaM kinase II delta
Clc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,5.7,CHEMBL1998829,CaM kinase II delta
[O-][N+](=O)c1ccc2[nH]c3c(CC(=O)Nc4ccccc34)c2c1,5.7,CHEMBL50894,CaM kinase II delta
Cc1cnc(Nc2cccc(c2)S(=O)(=O)N)nc1Nc3ccc(OCC(=O)N)cc3,5.6,CHEMBL1988838,CaM kinase II delta
CCN1CCN(CC1)c2ccc(Nc3nccc(n3)c4c(nc5ccccn45)c6cccc(c6)C(=O)Nc7ccccc7F)cc2,5.4,CHEMBL1981725,CaM kinase II delta
CS(=O)(=O)NC1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,6.4,CHEMBL1980562,CaM kinase II delta
NC1=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,5.2,CHEMBL462120,CaM kinase II delta
CCOC(=O)C1=CN(c2ccc(O)cc2C)c3cc(ccc3C1=O)c4ccccc4,5.3,CHEMBL1997839,CaM kinase II delta
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,5.6,CHEMBL939,CaM kinase II delta
CCNc1nc(C)c(C=CC(C)(C)c2ccc(cc2)C(F)(F)F)c(NCC)n1,5.7,CHEMBL1994214,CaM kinase II delta
NC(=O)c1cccc2[nH]c(nc12)c3ccncc3,5.3,CHEMBL1990482,CaM kinase II delta
Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,5.6,CHEMBL1987448,CaM kinase II delta
O=C(NCC1CCCCC1)c2cc3c(n[nH]c3s2)c4ccccc4,5.3,CHEMBL2005475,CaM kinase II delta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1,5.4,CHEMBL220057,CaM kinase II delta
NC(COc1cncc(C=Cc2ccncc2)c1)Cc3c[nH]c4ccccc34,5.2,CHEMBL1974935,CaM kinase II delta
OCC(NC(=O)N1CCC(=CC1)c2c[nH]c3ncccc23)c4ccccc4,5.3,CHEMBL1964937,CaM kinase II delta
Cc1cc(C)c(C=C2C(=O)Nc3ccccc23)[nH]1,6.2,CHEMBL2002702,CaM kinase II delta
Cc1n[nH]c2ccc(cc12)c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3,7.8,CHEMBL1970903,CaM kinase II delta
NC1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,6.6,CHEMBL1973720,CaM kinase II delta
COCCOCC#Cc1cc(cs1)c2n[nH]c3c4ccc(CN5CCN(C)CC5)cc4C(=O)c23,5.4,CHEMBL387971,CaM kinase II delta
Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14,5.4,CHEMBL1516890,CaM kinase II delta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCOCC5)c1,5.2,CHEMBL1982465,CaM kinase II delta
NC(COc1cncc(c1)c2ccc3NC(=O)C(=Cc4occc4)c3c2)Cc5c[nH]c6ccccc56,7.8,CHEMBL2001751,CaM kinase II delta
COc1cc(ccc1O)c2ccc3[nH]nc(C(=O)Nc4ccccc4)c3c2,5.2,CHEMBL2007002,CaM kinase II delta
CN1CCC(CC1)NC(=O)c2cc3c(n[nH]c3s2)c4ccccc4,5.4,CHEMBL1987007,CaM kinase II delta
Clc1cc(cc(NCc2ccccc2)n1)c3c[nH]c4ncccc34,7.1,CHEMBL1969588,CaM kinase II delta
CN1CCN(CC1)c2ccc(Nc3ncc(F)c(NC4C5CC(C=C5)C4C(=O)N)n3)cc2C,6.9,CHEMBL1967878,CaM kinase II delta
CCCCOc1ccccc1CCc2cccc3nc(N)nc(N)c23,5.3,CHEMBL1983255,CaM kinase II delta
Nc1n[nH]c2ccc(cc12)c3nnn(Cc4ccccc4)c3c5ccc(F)cc5,5.7,CHEMBL1986499,CaM kinase II delta
Fc1ccc2ncn(c3ncc4NC(=O)N(C5CCOc6c(F)cccc56)c4n3)c2c1,6.4,CHEMBL2000393,CaM kinase II delta
Brc1cnc2[nH]cc(c3ccccc3)c2c1,6.5,CHEMBL1992634,CaM kinase II delta
Nc1ncnc2scc(C(=O)Nc3ccc(NC(=O)Nc4ccccc4)cc3)c12,5.7,CHEMBL1988594,CaM kinase II delta
CN(C)CC(=O)NC1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,6.2,CHEMBL1982271,CaM kinase II delta
OC(=O)c1ccccc1Nc2ccnc(Nc3ccc4[nH]ncc4c3)n2,6.2,CHEMBL396523,CaM kinase II delta
CCC1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCCCC5)ncc3N(C)C1=O,5.3,CHEMBL2005375,CaM kinase II delta
